Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
Orange-Cyberdefense,GOAD,game of active directory,PowerShell,6317,872,"Mayfly277, aleemladha, mubix, fsacer, kernel-sanders",4
ScoopInstaller,Versions,📦 A Scoop bucket for alternative versions of apps.,PowerShell,232,224,"github-actions, r15ch13, niheaven, issaclin32, rasa",0
microsoft,winget-dsc,,PowerShell,51,27,"ryfu-msft, Trenly, Gijsreyn, mdanish-kh, denelon",0
microsoft,AL,Home of the Dynamics 365 Business Central AL Language extension for Visual Studio Code. Used to track issues regarding the latest version of the AL compiler and developer tools available in the Visual Studio Code Marketplace or as part of the AL Developer Preview builds for Dynamics 365 Business Central.,PowerShell,786,253,"SusanneWindfeldPedersen, SBalslev, Gallimathias, atoader, esbenk",0
Romanitho,Winget-AutoUpdate,WAU daily updates apps as system and notify connected users. (Allowlist and Blocklist support),PowerShell,1433,155,"Romanitho, KnifMelti, github-actions, AndrewDemski-ad-gmail-com, dependabot",0
MicrosoftLearning,PL-300-Microsoft-Power-BI-Data-Analyst,,PowerShell,576,422,"AngieRudduck, bpmoring, afelix-95, AnthonyOakley, LuizMacedo",0
ansible-collections,ansible.windows,Windows core collection for Ansible,PowerShell,261,184,"jborean93, amitosw15, Yaish25491, Andersson007, shahargolshani",0
Raphire,Win11Debloat,"A simple, easy to use PowerShell script to remove pre-installed apps from Windows, disable telemetry, remove Bing from Windows search as well as perform various other changes to declutter and improve your Windows experience. This script works for both Windows 10 and Windows 11.",PowerShell,19000,817,"Raphire, kapad, jasonpatrickellykrause, helge000, eltociear",29
hackclub,OnBoard,"💡 Join 1,000 teenagers and make your first PCB with a $100 grant!",Prolog,907,1090,"LimesKey, kvnyng, maxwofford, karmanyaahm, blazecoding2009",2
StartBootstrap,startbootstrap-resume,A Bootstrap 4 resume/CV theme created by Start Bootstrap,Pug,2084,2688,"davidtmiller, jimcullenaus, heymrhayes",1
anders94,blockchain-demo,A web-based demonstration of blockchain concepts.,Pug,5454,2712,"anders94, dependabot, rolandguelle, Ajeet-Yadav, DaWe35",0
nammayatri,nammayatri,A Direct-to-Driver open mobility platform powering the next-generation of mobility applications in India.,PureScript,2277,287,"hkmangla, witcher-shailesh, khuzema786, 0utkarsh, Vignesh-772",1
microsoft,markitdown,Python tool for converting files and office documents to Markdown.,Python,52723,2604,"afourney, gagb, sugatoray, PetrAPConsulting, l-lumin",980
bytedance,UI-TARS,,Python,4401,293,"pooruss, mingcomplex, AHEADer, li-plus, yuyutaotao",96
1Panel-dev,MaxKB,"💬 MaxKB is an open-source AI assistant for enterprise. It seamlessly integrates RAG pipelines, supports robust workflows, and provides MCP tool-use capabilities.",Python,16064,2085,"shaohuzhang1, wangdan-fit2cloud, liuruibin, wxg0103, liqiang-fit2cloud",189
RVC-Boss,GPT-SoVITS,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),Python,44857,4986,"RVC-Boss, KamioRinn, XXXXRT666, SapphireLab, Yuan-ManX",116
Byaidu,PDFMathTranslate,PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero,Python,21624,1832,"Byaidu, awwaawwa, hellofinch, reycn, tastelikefeet",272
jumpserver,jumpserver,"JumpServer is an open-source Privileged Access Management (PAM) tool that provides DevOps and IT teams with on-demand and secure access to SSH, RDP, Kubernetes, Database and RemoteApp endpoints through a web browser.",Python,27213,5459,"ibuler, BaiJiangJie, feng626, fit2bot, xuxinwen",285
ansible,awx,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform.",Python,14533,3504,"softwarefactory-project-zuul, AlanCoding, mabashian, ryanpetrello, matburt",3
autogluon,autogluon,Fast and Accurate ML in 3 Lines of Code,Python,8698,997,"Innixma, shchur, zhiqiangdon, yinweisu, gradientsky",3
oumi-ai,oumi,"Everything you need to build state-of-the-art foundation models, end-to-end.",Python,8042,584,"nikg4, oelachqar, taenin, wizeng23, kaisopos",61
D-Ogi,WatermarkRemover-AI,AI-Powered Watermark Remover using Florence-2 and LaMA Models: A Python application leveraging state-of-the-art deep learning models to effectively remove watermarks from images with a user-friendly PyQt6 interface.,Python,303,68,"D-Ogi, crosstyan, stickerdaniel",24
airbytehq,airbyte,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.",Python,17932,4468,"airbyteio, alafanechere, octavia-squidington-iii, marcosmarxm, sherifnada",17
luisbocanegra,plasma-panel-colorizer,Latte-Dock and WM status bar customization for the KDE Plasma panels,QML,416,5,"luisbocanegra, mill413, Vistaus, hsitter",2
catsout,wallpaper-engine-kde-plugin,A kde wallpaper plugin integrating wallpaper engine,QML,2085,86,"catsout, fxzjshm, zoriya, lunastrans, davitz",1
alicevision,Meshroom,3D Reconstruction Software,QML,11795,1135,"fabiencastan, yann-lty, cbentejac, mugulmd, nrondaud",3
satijalab,seurat,R toolkit for single cell genomics,R,2422,946,"andrewwbutler, mojaveazure, yuhanH, dcollins15, saketkc",1
rdpeng,ProgrammingAssignment2,Repository for Programming Assignment 2 for R Programming on Coursera,R,850,143899,"rdpeng, gustavdelius",0
benjjneb,dada2,Accurate sample inference from amplicon data with single nucleotide resolution,R,491,147,"benjjneb, gblanchard4, joey711, nturaga, jwokaty",0
broadinstitute,infercnv,Inferring CNV from Single-Cell RNA-Seq,R,605,170,"brianjohnhaas, GeorgescuC, brownmp, TimothyTickle, eweitz",0
r-lib,tree-sitter-r,,R,118,34,"DavisVaughan, jimhester, kevinushey, aspeddro, echasnovski",0
tidyverse,dplyr,dplyr: A grammar of data manipulation,R,4862,2128,"romainfrancois, hadley, krlmlr, lionel-, DavisVaughan",0
immunogenomics,harmony,"Fast, sensitive and accurate integration of single-cell data with Harmony",R,565,103,"pati-ni, ilyakorsunsky, hongchengyao, wikiselev, slowkow",0
joey711,phyloseq,"phyloseq is a set of classes, wrappers, and tools (in R) to make it easier to import, store, and analyze phylogenetic sequencing data; and to reproducibly share that data and analysis with others. See the phyloseq front page:",R,603,189,"joey711, dtenenba, nturaga, hpages, jnpaulson",1
rstudio,reticulate,R Interface to Python,R,1695,339,"t-kalinowski, jjallaire, kevinushey, terrytangyuan, dfalbel",0
YuLab-SMU,clusterProfiler,📊 A universal enrichment tool for interpreting omics data,R,1086,259,"GuangchuangYu, huerqiang, dtenenba, Jigyasa-G, dalloliogm",1
chris-mcginnis-ucsf,DoubletFinder,R package for detecting doublets in single-cell RNA sequencing data,R,459,117,"chris-mcginnis-ucsf, haibol2016, ekernf01, FloWuenne, NathanSkene",1
jokergoo,ComplexHeatmap,Make Complex Heatmaps,R,1364,235,"jokergoo, dtenenba, nturaga, jwokaty, hpages",0
Rdatatable,data.table,R's data.table package extends data.frame:,R,3719,1006,"mattdowle, arunsrinivasan, MichaelChirico, jangorecki, ben-schwen",1
cole-trapnell-lab,monocle3,,R,378,104,"hpliner, brgew, ctrapnell, aishwaryagogate, jenniferfranks",1
rstudio,renv,renv: Project environments for R.,R,1055,154,"kevinushey, hadley, cderv, aronatkins, salim-b",0
rstudio,rmarkdown,Dynamic Documents for R,R,2927,984,"jjallaire, yihui, cderv, jmcphers, javierluraschi",0
r-spatial,sf,Simple Features for R,R,1374,303,"edzer, web-flow, rsbivand, etiennebr, Robinlovelace",0
rstudio,shiny,Easy interactive web applications with R,R,5463,1874,"wch, jcheng5, cpsievert, schloerke, yihui",0
Monika-After-Story,MonikaModDev,DDLC fan mod to extend Monika,Ren'Py,1262,689,"ThePotatoGuy, multimokia, jmwall24, Booplicate, aldoram5",1
Xilinx,Vitis-HLS-Introductory-Examples,,ReScript,670,159,"f-rivo, ramanan-radhakrishnan, nismehta-amd, akhilayyagari, ravicho",0
juspay,hyperswitch-web,Hyperswitch Web SDK: A Rescript powered React library for seamless payment integration and customization.,ReScript,69,78,"semantic-release-bot, PritishBudhiraja, ArushKapoorJuspay, sakksham7, prafulkoppalkar",0
odoo,documentation,Odoo documentation sources,reStructuredText,858,9057,"mart-e, tivisse, C3POdoo, AntoineVDV, ksc-odoo",0
ckeditor,ckeditor5,"Powerful rich text editor framework with a modular architecture, modern integrations, and features like collaborative editing.",Rich Text Format,10024,3735,"Reinmar, jodator, godai78, oleq, pomek",5
cncf,foundation,☁️♮🏛 This repo contains several documents related to the operation of the CNCF. File non-technical issues related to CNCF here.,Rich Text Format,588,629,"amye, krook, Cmierly, caniszczyk, k8tgreenley",0
jlord,patchwork,All the Git-it Workshop completers!,Rich Text Format,1132,42202,"reporobot, jlord, arlolanuzo, mikiyoshi, hi-light",0
ckeditor,ckeditor4,The best enterprise-grade WYSIWYG editor. Fully customizable with countless features and plugins.,Rich Text Format,5806,2477,"Reinmar, Comandeer, mlewand, jacekbogdanski, oleq",0
renode,renode,Renode - Antmicro's open source simulation and virtual development framework for complex embedded systems,RobotFramework,1829,329,"mateusz-holenko, PiotrZierhoffer, p-woj, mszprejda, ajelinski",0
pyenv,pyenv,Simple Python version management,Roff,41778,3164,"yyuu, native-api, anton-petrov, sstephenson, mislav",18
sidpalas,devops-directive-docker-course,Companion repo for complete Docker course,Roff,2379,1645,"sidpalas, torgoton, mesmith027, abdelhaqelamraoui",4
nodenv,node-build,Install NodeJS versions,Roff,276,79,"jasonkarns, hsbt, minimum2scp, nodenv-bot, mislav",0
ophub,amlogic-s9xxx-armbian,"Support for Armbian in Amlogic, Rockchip and Allwinner boxes. Support a311d, s922x, s905x3, s905x2, s912, s905d, s905x, s905w, s905, s905l, rk3588, rk3568, rk3399, rk3328, h6, etc.",Roff,7059,2257,"ophub, 13584452567, livelier, Calmact, danboid",1
microsoft,azurelinux,Linux OS for Azure 1P services and edge appliances,RPM Spec,4427,573,"PawelWMS, CBL-Mariner-Bot, jslobodzian, mfrw, anphel31",2
spree,spree,"An open source eCommerce platform giving you full control and customizability. Modular and API-first. Multi-vendor, multi-tenant, multi-store, multi-currency, multi-language. Built using Ruby on Rails. Developed by @vendo-dev",Ruby,14581,5074,"damianlegawiec, radar, schof, MatthewKennedy, BDQ",7
dependabot,dependabot-core,🤖 Dependabot's core logic for creating update PRs.,Ruby,4999,1103,"greysteil, feelepxyz, jurre, dependabot, deivid-rodriguez",1
jekyll,jekyll,🌐 Jekyll is a blog-aware static site generator in Ruby,Ruby,49920,10084,"parkr, jekyllbot, ashmaroli, mattr-, mojombo",15
hashicorp,vagrant,Vagrant is a tool for building and distributing development environments.,Ruby,26613,4444,"mitchellh, chrisroberts, briancain, soapy1, sethvargo",5
discourse,discourse,"A platform for community discussion. Free, open, simple.",Ruby,43815,8511,"SamSaffron, eviltrout, tgxworld, ZogStriP, jjaffeux",11
heartcombo,devise,Flexible authentication solution for Rails with Warden.,Ruby,24181,5533,"josevalim, carlosantoniodasilva, lucasmazza, rafaelfranca, nashby",0
chef,chef,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale",Ruby,7729,2516,"tas50, lamont-granquist, danielsdeleo, chef-ci, adamhjk",1
mileszs,wicked_pdf,PDF generator (from HTML) plugin for Ruby on Rails,Ruby,3562,650,"unixmonkey, pedrofurtado, lleirborras, sharpyfox, yui-knk",0
github-linguist,linguist,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",Ruby,12677,4478,"arfon, josh, tnm, lildude, pchaigno",5
puma,puma,A Ruby/Rack web server built for parallelism,Ruby,7755,1457,"evanphx, MSP-Greg, nateberkopec, schneems, dentarg",2
basecamp,kamal,Deploy web apps anywhere.,Ruby,12405,541,"djmb, dhh, igor-alexandrov, calmyournerves, nickhammond",3
zammad,zammad,Zammad is a web based open source helpdesk/customer support system,Ruby,4774,805,"martini, mgruner, mrflix, thorsteneckel, rolfschmidt",4
rubocop,rubocop,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.",Ruby,12730,3075,"koic, bbatsov, jonas054, dvandersluis, Drenmi",1
chatwoot,chatwoot,"Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬",Ruby,23312,4223,"pranavrajs, sojan-official, iamsivin, muhsin-k, scmmishra",11
CocoaPods,CocoaPods,The Cocoa Dependency Manager.,Ruby,14699,2667,"segiddins, fabiopelosin, dnkoutso, alloy, mrackwitz",1
carrierwaveuploader,carrierwave,"Classier solution for file uploads for Rails, Sinatra and other Ruby web frameworks",Ruby,8780,1659,"jnicklas, mshibuya, bensie, trevorturk, thiagofm",0
omniauth,omniauth,OmniAuth is a flexible authentication system utilizing Rack middleware.,Ruby,7960,983,"sferik, BobbyMcWho, tmilewski, jamesarosen, chrispeterson",0
openstreetmap,openstreetmap-website,The Rails application that powers OpenStreetMap,Ruby,2351,961,"tomhughes, gravitystorm, AntonKhorev, translatewiki, jfirebaugh",2
DataDog,dd-trace-rb,Datadog Tracing Ruby Client,Ruby,341,386,"ivoanjo, marcotc, TonyCTHsu, delner, lloeki",0
alexrudall,ruby-openai,OpenAI API + Ruby! 🤖❤️ Now with Responses API + DeepSeek!,Ruby,3050,359,"alexrudall, dependabot, dependabot-preview, willywg, Haegin",4
puppetlabs,puppet,Server automation framework and application,Ruby,7579,2201,"joshcooper, hlindberg, puppetlabs-jenkins, lak, thallgren",1
sinatra,sinatra,Classy web-development dressed in a DSL (official / canonical repo),Ruby,12282,2074,"rkh, rtomayko, jkowens, namusyaka, gnandretta",1
neondatabase,neon,"Neon: Serverless Postgres. We separated storage and compute to offer autoscaling, code-like database branching, and scale to zero.",Rust,16850,530,"hlinnaka, jcsp, problame, bayandin, koivunej",23
paritytech,polkadot-sdk,The Parity Polkadot Blockchain SDK,Rust,2217,899,"devops-parity, shawntabrizi, bkchr, ggwpez, svyatonik",2
TraceMachina,nativelink,"NativeLink is an open source high-performance build cache and remote execution server, compatible with Bazel, Pants, Buck2, Reclient, and other RBE-compatible build systems. It offers drastically faster builds, reduced test flakiness, and support for specialized hardware.",Rust,1316,172,"allada, aaronmondal, renovate, chrisstaite-menlo, MarcusSorealheis",8
typst,typst,A new markup-based typesetting system that is powerful and easy to learn.,Rust,39414,1077,"laurmaedje, reknih, Leedehai, MDLC01, PgBiel",55
astral-sh,uv,"An extremely fast Python package and project manager, written in Rust.",Rust,50955,1437,"charliermarsh, zanieb, konstin, renovate, BurntSushi",167
qdrant,qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,23159,1587,"dependabot, generall, agourlay, timvisee, coszio",16
TabbyML,tabby,Self-hosted AI coding assistant,Rust,30874,1452,"wsxiaoys, autofix-ci, icycodes, liangfung, boxbeam",18
huggingface,text-embeddings-inference,A blazing fast inference solution for text embeddings models,Rust,3460,249,"OlivierDehaene, Narsil, alvarobartt, kozistr, kaixuanliu",4
rolldown,rolldown,Fast Rust bundler for JavaScript/TypeScript with Rollup-compatible API.,Rust,10828,574,"hyf0, IWANABETHATGUY, underfin, renovate, shulaoda",25
atuinsh,atuin,✨ Magical shell history,Rust,23462,635,"ellie, dependabot, conradludgate, akinomyoga, arcuru",121
apache,datafusion,Apache DataFusion SQL Query Engine,Rust,7065,1454,"alamb, andygrove, kou, wesm, kszucs",4
PyO3,maturin,"Build and publish crates with pyo3, cffi and uniffi bindings as well as rust binaries as python packages",Rust,4468,308,"messense, konstin, dependabot, bors, pre-commit-ci",10
lapce,lapce,Lightning-fast and Powerful Code Editor written in Rust,Rust,35169,1075,"dzhou121, panekj, bugadani, dependabot, MinusGix",17
rustdesk,rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,87232,12345,"rustdesk, fufesou, 21pages, Kingtous, Heap-Hop",50
GitoxideLabs,gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,9698,340,"Byron, EliahKagan, edward-shen, svetli-n, SidneyDouw",5
oxc-project,oxc,⚓ A collection of JavaScript tools written in Rust.,Rust,14250,553,"Boshen, overlookmotel, Dunqing, camc314, DonIsaac",19
